Problem: m=45, n=13, k=6, j=5, s=5
Samples: [3, 11, 14, 17, 18, 24, 28, 34, 35, 37, 39, 40, 42]
Results Count: 259
--------------------
1. 3,11,14,17,18,35
2. 3,11,14,17,24,42
3. 3,11,14,17,28,35
4. 3,11,14,17,34,40
5. 3,11,14,17,37,39
6. 3,11,14,17,40,42
7. 3,11,14,18,24,37
8. 3,11,14,18,28,34
9. 3,11,14,18,34,39
10. 3,11,14,18,34,42
11. 3,11,14,18,35,40
12. 3,11,14,24,28,35
13. 3,11,14,24,34,37
14. 3,11,14,24,39,40
15. 3,11,14,28,37,40
16. 3,11,14,28,39,42
17. 3,11,14,34,35,39
18. 3,11,14,35,37,42
19. 3,11,17,18,24,40
20. 3,11,17,18,28,39
21. 3,11,17,18,34,37
22. 3,11,17,18,39,42
23. 3,11,17,24,28,37
24. 3,11,17,24,34,35
25. 3,11,17,24,35,39
26. 3,11,17,28,34,40
27. 3,11,17,28,34,42
28. 3,11,17,34,39,40
29. 3,11,17,35,37,40
30. 3,11,17,35,37,42
31. 3,11,18,24,28,42
32. 3,11,18,24,34,40
33. 3,11,18,24,35,42
34. 3,11,18,24,39,42
35. 3,11,18,28,35,39
36. 3,11,18,28,37,42
37. 3,11,18,28,39,40
38. 3,11,18,34,35,37
39. 3,11,18,35,39,42
40. 3,11,18,35,40,42
41. 3,11,18,37,39,40
42. 3,11,24,28,34,39
43. 3,11,24,28,35,37
44. 3,11,24,28,35,40
45. 3,11,24,34,37,39
46. 3,11,24,34,40,42
47. 3,11,24,37,40,42
48. 3,11,28,34,35,42
49. 3,11,28,34,37,39
50. 3,11,28,39,40,42
51. 3,11,34,35,37,40
52. 3,11,34,37,39,42
53. 3,11,35,37,39,40
54. 3,14,17,18,24,34
55. 3,14,17,18,28,40
56. 3,14,17,18,37,42
57. 3,14,17,18,39,40
58. 3,14,17,24,28,39
59. 3,14,17,24,35,40
60. 3,14,17,24,37,40
61. 3,14,17,28,34,35
62. 3,14,17,28,35,37
