Problem: m=45, n=12, k=6, j=5, s=5
Samples: [1, 9, 16, 17, 18, 20, 21, 32, 36, 41, 42, 43]
Results Count: 132
--------------------
1. 1,9,16,17,18,32
2. 1,9,16,17,20,21
3. 1,9,16,17,36,42
4. 1,9,16,17,41,43
5. 1,9,16,18,20,42
6. 1,9,16,18,21,43
7. 1,9,16,18,36,41
8. 1,9,16,20,32,41
9. 1,9,16,20,36,43
10. 1,9,16,21,32,36
11. 1,9,16,21,41,42
12. 1,9,16,32,42,43
13. 1,9,17,18,20,36
14. 1,9,17,18,21,41
15. 1,9,17,18,42,43
16. 1,9,17,20,32,43
17. 1,9,17,20,41,42
18. 1,9,17,21,32,42
19. 1,9,17,21,36,43
20. 1,9,17,32,36,41
21. 1,9,18,20,21,32
22. 1,9,18,20,41,43
23. 1,9,18,21,36,42
24. 1,9,18,32,36,43
25. 1,9,18,32,41,42
26. 1,9,20,21,36,41
27. 1,9,20,21,42,43
28. 1,9,20,32,36,42
29. 1,9,21,32,41,43
30. 1,9,36,41,42,43
31. 1,16,17,18,20,41
32. 1,16,17,18,21,42
33. 1,16,17,18,36,43
34. 1,16,17,20,32,36
35. 1,16,17,20,42,43
36. 1,16,17,21,32,43
37. 1,16,17,21,36,41
38. 1,16,17,32,41,42
39. 1,16,18,20,21,36
40. 1,16,18,20,32,43
41. 1,16,18,21,32,41
42. 1,16,18,32,36,42
43. 1,16,18,41,42,43
44. 1,16,20,21,32,42
45. 1,16,20,21,41,43
46. 1,16,20,36,41,42
47. 1,16,21,36,42,43
48. 1,16,32,36,41,43
49. 1,17,18,20,21,43
50. 1,17,18,20,32,42
51. 1,17,18,21,32,36
52. 1,17,18,32,41,43
53. 1,17,18,36,41,42
54. 1,17,20,21,32,41
55. 1,17,20,21,36,42
56. 1,17,20,36,41,43
57. 1,17,21,41,42,43
58. 1,17,32,36,42,43
59. 1,18,20,21,41,42
60. 1,18,20,32,36,41
61. 1,18,20,36,42,43
62. 1,18,21,32,42,43
63. 1,18,21,36,41,43
64. 1,20,21,32,36,43
65. 1,20,32,41,42,43
66. 1,21,32,36,41,42
67. 9,16,17,18,20,43
68. 9,16,17,18,21,36
69. 9,16,17,18,41,42
70. 9,16,17,20,32,42
71. 9,16,17,20,36,41
72. 9,16,17,21,32,41
73. 9,16,17,21,42,43
74. 9,16,17,32,36,43
75. 9,16,18,20,21,41
76. 9,16,18,20,32,36
77. 9,16,18,21,32,42
78. 9,16,18,32,41,43
79. 9,16,18,36,42,43
80. 9,16,20,21,32,43
81. 9,16,20,21,36,42
82. 9,16,20,41,42,43
83. 9,16,21,36,41,43
84. 9,16,32,36,41,42
85. 9,17,18,20,21,42
86. 9,17,18,20,32,41
87. 9,17,18,21,32,43
88. 9,17,18,32,36,42
89. 9,17,18,36,41,43
90. 9,17,20,21,32,36
91. 9,17,20,21,41,43
92. 9,17,20,36,42,43
93. 9,17,21,36,41,42
94. 9,17,32,41,42,43
95. 9,18,20,21,36,43
96. 9,18,20,32,42,43
97. 9,18,20,36,41,42
98. 9,18,21,32,36,41
99. 9,18,21,41,42,43
100. 9,20,21,32,41,42
101. 9,20,32,36,41,43
102. 9,21,32,36,42,43
103. 16,17,18,20,21,32
104. 16,17,18,20,36,42
105. 16,17,18,21,41,43
106. 16,17,18,32,36,41
107. 16,17,18,32,42,43
108. 16,17,20,21,36,43
109. 16,17,20,21,41,42
110. 16,17,20,32,41,43
111. 16,17,21,32,36,42
112. 16,17,36,41,42,43
113. 16,18,20,21,42,43
114. 16,18,20,32,41,42
115. 16,18,20,36,41,43
116. 16,18,21,32,36,43
117. 16,18,21,36,41,42
118. 16,20,21,32,36,41
119. 16,20,32,36,42,43
120. 16,21,32,41,42,43
121. 17,18,20,21,36,41
122. 17,18,20,32,36,43
123. 17,18,20,41,42,43
124. 17,18,21,32,41,42
125. 17,18,21,36,42,43
126. 17,20,21,32,42,43
127. 17,20,32,36,41,42
128. 17,21,32,36,41,43
129. 18,20,21,32,36,42
130. 18,20,21,32,41,43
131. 18,32,36,41,42,43
132. 20,21,36,41,42,43
